day,variant,total_alerts,z-score-outlier,Step-Change Detected,Variance Regime Change
20250614,default,510,279,231,0.0
20250615,default,489,273,216,0.0
20250616,default,487,267,220,0.0
20250617,default,503,274,229,0.0
20250618,default,523,280,243,0.0
20250619,default,505,278,227,0.0
20250620,default,502,275,227,0.0
20250621,default,484,272,212,0.0
20250622,default,508,278,230,0.0
20250623,default,474,274,200,0.0
20250624,default,460,268,192,0.0
20250625,default,492,268,224,0.0
20250626,default,480,271,209,0.0
20250627,default,487,272,215,0.0
20250628,default,469,261,208,0.0
20250629,default,493,273,220,0.0
20250630,default,498,275,223,0.0
20250701,default,486,275,211,0.0
20250702,default,503,277,226,0.0
20250703,default,490,274,216,0.0
20250704,default,493,270,223,0.0
20250705,default,492,283,209,0.0
20250706,default,499,278,221,0.0
20250707,default,509,284,225,0.0
20250708,default,521,283,238,0.0
20250709,default,481,265,216,0.0
20250710,default,503,275,228,0.0
20250711,default,511,280,231,0.0
20250712,default,487,272,215,0.0
20250713,default,474,270,204,0.0
20250714,default,489,269,220,0.0
20250715,default,525,289,236,0.0
20250716,default,511,284,227,0.0
20250717,default,517,287,230,0.0
20250718,default,514,285,229,0.0
20250719,default,503,278,225,0.0
20250720,default,489,267,222,0.0
20250721,default,490,274,216,0.0
20250722,default,491,269,222,0.0
20250723,default,489,275,214,0.0
20250724,default,500,267,233,0.0
20250725,default,508,274,234,0.0
20250726,default,508,285,223,0.0
20250727,default,477,257,220,0.0
20250728,default,466,260,206,0.0
20250729,default,506,278,228,0.0
20250730,default,495,272,223,0.0
20250731,default,509,281,228,0.0
20250801,default,518,281,237,0.0
20250802,default,476,269,207,0.0
20250803,default,483,275,208,0.0
20250804,default,521,280,241,0.0
20250805,default,477,274,203,0.0
20250806,default,471,276,195,0.0
20250807,default,493,276,217,0.0
20250808,default,489,270,219,0.0
20250809,default,510,276,234,0.0
20250810,default,501,275,226,0.0
20250811,default,490,272,218,0.0
20250812,default,533,286,247,0.0
20250813,default,533,288,245,0.0
20250814,default,482,272,210,0.0
20250815,default,502,272,230,0.0
20250816,default,506,275,231,0.0
20250817,default,508,280,228,0.0
20250818,default,494,280,214,0.0
20250819,default,506,276,230,0.0
20250820,default,498,279,219,0.0
20250821,default,502,275,227,0.0
20250822,default,527,288,239,0.0
20250823,default,510,280,230,0.0
20250824,default,470,260,210,0.0
20250825,default,525,286,239,0.0
20250826,default,518,283,235,0.0
20250827,default,525,287,238,0.0
20250828,default,530,290,240,0.0
20250829,default,505,280,225,0.0
20250830,default,501,278,223,0.0
20250831,default,514,277,237,0.0
20250901,default,531,290,241,0.0
20250902,default,495,284,211,0.0
20250903,default,508,281,227,0.0
20250904,default,479,262,217,0.0
20250905,default,520,281,239,0.0
20250906,default,487,282,205,0.0
20250907,default,486,275,211,0.0
20250908,default,522,283,239,0.0
20250909,default,463,260,203,0.0
20250910,default,518,279,239,0.0
20250911,default,513,284,229,0.0
20250912,default,507,277,230,0.0
20250913,default,485,277,208,0.0
20250914,default,470,277,193,0.0
20250915,default,462,271,191,0.0
20250916,default,484,271,213,0.0
20250917,default,499,281,218,0.0
20250918,default,509,283,226,0.0
20250919,default,469,269,200,0.0
20250920,default,458,266,192,0.0
20250921,default,510,278,232,0.0
20250922,default,487,270,217,0.0
20250923,default,479,270,209,0.0
20250924,default,485,266,219,0.0
20250925,default,498,272,226,0.0
20250926,default,487,275,212,0.0
20250927,default,512,282,230,0.0
20250928,default,486,277,209,0.0
20250929,default,499,278,221,0.0
20250930,default,510,274,236,0.0
20251001,default,532,286,246,0.0
20251002,default,511,282,229,0.0
20251003,default,505,281,224,0.0
20251004,default,505,275,230,0.0
20251005,default,479,265,214,0.0
20251006,default,473,270,203,0.0
20251007,default,490,271,219,0.0
20251008,default,451,260,191,0.0
20251009,default,504,274,230,0.0
20251010,default,492,270,222,0.0
20251011,default,505,278,227,0.0
20251012,default,481,270,211,0.0
20251013,default,494,278,216,0.0
20251014,default,495,275,220,0.0
20251015,default,512,277,235,0.0
20251016,default,512,274,238,0.0
20251017,default,514,277,237,0.0
20251018,default,489,270,219,0.0
20251019,default,507,279,228,0.0
20251020,default,468,263,205,0.0
20251021,default,513,280,233,0.0
20251022,default,473,265,208,0.0
20251023,default,517,283,234,0.0
20251024,default,492,267,225,0.0
20251025,default,510,277,233,0.0
20251026,default,488,283,205,0.0
20251027,default,499,281,218,0.0
20251028,default,498,286,212,0.0
20251029,default,519,281,238,0.0
20251030,default,514,281,233,0.0
20251031,default,509,283,226,0.0
20251101,default,464,263,201,0.0
20251102,default,482,270,212,0.0
20251103,default,475,265,210,0.0
20251104,default,484,274,210,0.0
20251105,default,479,265,214,0.0
20251106,default,468,262,206,0.0
20251107,default,481,269,212,0.0
20251108,default,482,267,215,0.0
20251109,default,517,281,236,0.0
20251110,default,440,254,186,0.0
20251111,default,480,269,211,0.0
20251112,default,491,269,222,0.0
20251113,default,486,274,212,0.0
20251114,default,481,266,215,0.0
20251115,default,478,256,222,0.0
20251116,default,473,266,207,0.0
20251117,default,524,281,243,0.0
20251118,default,520,286,234,0.0
20251119,default,490,280,210,0.0
20251120,default,500,277,223,0.0
20251121,default,474,270,204,0.0
20251122,default,462,259,203,0.0
20251123,default,472,262,210,0.0
20251124,default,513,279,234,0.0
20251125,default,171,105,66,0.0
20251126,default,341,181,160,0.0
20251127,default,478,268,210,0.0
