sensor,metric,granularity,old_period,new_period,old_n,new_n,old_n_eff,new_n_eff,old_mean,new_mean,mean_delta,old_std,new_std,old_min,old_max,new_min,new_max,cohens_d,std_ratio,p_welch,p_levene,mean_shift,variance_shift
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-04,2024-08-05,71,288,18.0,11.1,6.1973,10.6569,4.4596,0.8321,2.4546,4.1702,8.6108,4.7086,17.077,1.9947,2.9498,9.38e-05,1.54e-03,True,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-05,2024-08-06,288,288,11.1,30.1,10.6569,11.3802,0.7233,2.4546,1.6919,4.7086,17.077,8.1497,16.9593,0.3425,0.6893,3.82e-01,2.00e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-06,2024-08-07,288,288,30.1,48.0,11.3802,11.3772,-0.003,1.6919,1.4819,8.1497,16.9593,8.5522,16.3772,-0.0019,0.8759,9.94e-01,9.51e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-07,2024-08-08,288,288,48.0,29.4,11.3772,11.6975,0.3203,1.4819,1.7871,8.5522,16.3772,7.2776,15.8963,0.1948,1.206,4.20e-01,2.31e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-08,2024-08-09,288,288,29.4,4.7,11.6975,9.4586,-2.2389,1.7871,3.7439,7.2776,15.8963,2.8045,16.5138,-0.7619,2.0949,2.71e-01,1.81e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-09,2024-08-10,288,288,4.7,57.1,9.4586,7.6109,-1.8477,3.7439,1.1005,2.8045,16.5138,5.0479,10.3585,-0.6684,0.294,3.48e-01,7.93e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-10,2024-08-11,288,288,57.1,57.2,7.6109,8.4308,0.8198,1.1005,1.0935,5.0479,10.3585,5.5131,11.8202,0.746,0.9936,1.19e-04,8.98e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-11,2024-08-12,288,288,57.2,22.7,8.4308,7.9851,-0.4457,1.0935,1.7355,5.5131,11.8202,4.5878,13.5879,-0.3067,1.587,2.66e-01,5.67e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-12,2024-08-13,288,287,22.7,14.5,7.9851,6.8856,-1.0994,1.7355,1.8383,4.5878,13.5879,3.0889,11.7136,-0.614,1.0592,8.02e-02,6.04e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-13,2024-08-14,287,288,14.5,16.1,6.8856,4.1606,-2.7251,1.8383,1.3016,3.0889,11.7136,1.7896,7.3704,-1.7085,0.7081,9.18e-05,1.58e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-14,2024-08-15,288,288,16.1,90.5,4.1606,2.4637,-1.6968,1.3016,0.737,1.7896,7.3704,1.1758,9.0851,-1.6015,0.5662,9.44e-05,1.25e-06,True,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-15,2024-08-16,288,282,90.5,38.6,2.4637,2.9705,0.5067,0.737,0.7511,1.1758,9.0851,1.3249,5.9755,0.6799,1.0192,7.53e-04,5.01e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-16,2024-08-17,282,288,38.6,37.2,2.9705,2.6869,-0.2835,0.7511,0.5895,1.3249,5.9755,1.4641,4.3319,-0.4197,0.7848,7.15e-02,4.67e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-17,2024-08-18,288,288,37.2,21.4,2.6869,2.8821,0.1952,0.5895,0.9155,1.4641,4.3319,1.475,5.552,0.253,1.5531,3.84e-01,3.29e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-18,2024-08-19,288,288,21.4,25.3,2.8821,4.2498,1.3677,0.9155,1.1149,1.475,5.552,1.6414,7.0474,1.3384,1.2177,3.54e-05,2.71e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-19,2024-08-20,288,288,25.3,5.8,4.2498,7.435,3.1853,1.1149,2.9972,1.6414,7.0474,2.9711,14.4399,1.4062,2.6883,5.16e-02,6.49e-04,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-20,2024-08-21,288,288,5.8,9.3,7.435,16.0509,8.6158,2.9972,4.1582,2.9711,14.4399,6.5505,26.2898,2.373,1.3873,4.68e-04,1.85e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-21,2024-08-22,288,288,9.3,58.8,16.0509,15.1068,-0.9441,4.1582,1.6023,6.5505,26.2898,11.0894,19.5386,-0.2991,0.3853,5.13e-01,6.08e-07,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-22,2024-08-23,288,288,58.8,4.7,15.1068,13.8181,-1.2887,1.6023,5.1891,11.0894,19.5386,5.7032,23.0906,-0.335,3.2385,6.22e-01,1.69e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-23,2024-08-24,288,288,4.7,14.5,13.8181,7.5291,-6.2891,5.1891,2.0267,5.7032,23.0906,3.4423,13.8565,-1.5937,0.3906,6.12e-02,1.11e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-24,2024-08-25,288,288,14.5,5.1,7.5291,10.4453,2.9162,2.0267,4.1235,3.4423,13.8565,4.4036,21.0606,0.896,2.0345,1.90e-01,4.75e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-25,2024-08-26,288,288,5.1,7.3,10.4453,10.4906,0.0454,4.1235,3.5408,4.4036,21.0606,2.9351,17.853,0.0118,0.8587,9.84e-01,3.74e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-26,2024-08-27,288,288,7.3,15.9,10.4906,1.6982,-8.7925,3.5408,0.6707,2.9351,17.853,0.6981,4.5714,-3.4444,0.1894,4.16e-04,2.37e-04,True,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-27,2024-08-28,288,288,15.9,12.4,1.6982,1.5369,-0.1612,0.6707,0.6849,0.6981,4.5714,0.292,3.283,-0.2374,1.0211,5.38e-01,9.55e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-28,2024-08-29,288,288,12.4,21.9,1.5369,2.9366,1.3996,0.6849,1.4059,0.292,3.283,0.5325,9.5141,1.2635,2.0527,4.64e-04,1.12e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-29,2024-08-30,288,288,21.9,4.7,2.9366,4.4947,1.5581,1.4059,3.0596,0.5325,9.5141,0.8019,14.9258,0.6533,2.1762,3.41e-01,1.62e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-30,2024-08-31,288,288,4.7,20.8,4.4947,2.2678,-2.2269,3.0596,0.7022,0.8019,14.9258,0.8817,4.3458,-1.0015,0.2295,1.96e-01,2.26e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-08-31,2024-09-01,288,288,20.8,5.2,2.2678,2.1358,-0.132,0.7022,1.7122,0.8817,4.3458,0.3718,10.3709,-0.1007,2.4383,8.70e-01,4.63e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-01,2024-09-02,288,288,5.2,14.9,2.1358,1.0325,-1.1033,1.7122,0.4485,0.3718,10.3709,0.2878,2.1847,-0.8801,0.2619,2.12e-01,1.82e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-02,2024-09-03,288,288,14.9,6.1,1.0325,6.2405,5.208,0.4485,2.5661,0.2878,2.1847,1.2189,11.3485,2.8225,5.7217,3.60e-03,3.84e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-03,2024-09-04,288,288,6.1,19.5,6.2405,7.1145,0.874,2.5661,1.7744,1.2189,11.3485,3.8212,12.895,0.3955,0.6915,4.59e-01,8.08e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-04,2024-09-05,288,288,19.5,4.9,7.1145,8.1651,1.0506,1.7744,3.5751,3.8212,12.895,3.6624,18.5186,0.3716,2.0149,5.59e-01,6.92e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-05,2024-09-06,288,288,4.9,13.4,8.1651,4.6722,-3.4929,3.5751,1.7105,3.6624,18.5186,1.4146,8.6188,-1.2442,0.4784,9.74e-02,4.36e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-06,2024-09-07,288,288,13.4,11.0,4.6722,4.1801,-0.4922,1.7105,1.7417,1.4146,8.6188,1.6021,8.7189,-0.2846,1.0182,4.92e-01,8.15e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-07,2024-09-08,288,288,11.0,5.9,4.1801,1.6688,-2.5113,1.7417,1.071,1.6021,8.7189,0.3631,4.6763,-1.7339,0.6149,2.49e-03,2.48e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-08,2024-09-09,288,288,5.9,2.9,1.6688,3.7611,2.0923,1.071,3.3797,0.3631,4.6763,0.2836,15.1344,0.8331,3.1556,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-09,2024-09-10,288,288,2.9,26.9,3.7611,3.6614,-0.0997,3.3797,0.9736,0.2836,15.1344,1.8152,7.7701,-0.04,0.2881,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-10,2024-09-11,288,288,26.9,10.1,3.6614,2.8931,-0.7683,0.9736,1.4324,1.8152,7.7701,0.2105,6.3342,-0.6263,1.4713,1.42e-01,6.78e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-11,2024-09-12,288,288,10.1,4.0,2.8931,1.8212,-1.0719,1.4324,1.5148,0.2105,6.3342,0.1223,5.9822,-0.7259,1.0575,2.79e-01,8.23e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-12,2024-09-13,288,288,4.0,4.8,1.8212,3.3959,1.5747,1.5148,2.0215,0.1223,5.9822,0.9721,8.4074,0.8801,1.3345,2.31e-01,7.46e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-13,2024-09-14,288,223,4.8,6.3,3.3959,5.5536,2.1577,2.0215,2.3939,0.9721,8.4074,1.7211,11.6363,0.9825,1.1842,1.38e-01,8.78e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-14,2024-09-15,223,288,6.3,3.3,5.5536,3.2472,-2.3064,2.3939,2.2504,1.7211,11.6363,0.4026,9.5785,-0.9947,0.94,1.99e-01,9.99e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-15,2024-09-16,288,227,3.3,10.7,3.2472,0.8712,-2.376,2.2504,0.9244,0.4026,9.5785,0.2531,8.4597,-1.3239,0.4108,1.73e-01,2.01e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-16,2024-09-18,227,103,10.7,4.5,0.8712,4.1727,3.3016,0.9244,1.4001,0.2531,8.4597,2.2883,9.0806,3.0053,1.5146,6.55e-03,3.18e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-18,2024-09-19,103,288,4.5,13.3,4.1727,3.6884,-0.4844,1.4001,1.5502,2.2883,9.0806,0.9777,6.8939,-0.3195,1.1073,5.59e-01,6.84e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-19,2024-09-20,288,288,13.3,21.6,3.6884,3.1554,-0.5329,1.5502,0.9611,0.9777,6.8939,1.4091,5.3542,-0.4125,0.62,2.74e-01,3.32e-04,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-20,2024-09-21,288,288,21.6,22.1,3.1554,4.0318,0.8763,0.9611,0.9945,1.4091,5.3542,2.0456,6.304,0.8946,1.0348,5.10e-03,9.21e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-21,2024-09-22,288,288,22.1,7.0,4.0318,3.8978,-0.134,0.9945,1.7923,2.0456,6.304,1.2416,7.503,-0.0923,1.8022,8.56e-01,2.33e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-22,2024-09-23,288,287,7.0,6.6,3.8978,2.375,-1.5228,1.7923,1.5394,1.2416,7.503,0.279,6.8018,-0.9098,0.8589,1.20e-01,6.53e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-23,2024-09-24,287,259,6.6,26.5,2.375,3.1591,0.7841,1.5394,1.7844,0.279,6.8018,1.1547,14.5159,0.4715,1.1591,2.84e-01,6.41e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-24,2024-09-25,259,288,26.5,3.2,3.1591,2.5178,-0.6413,1.7844,1.9671,1.1547,14.5159,0.324,7.4532,-0.34,1.1024,6.23e-01,7.98e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-25,2024-09-26,288,288,3.2,17.7,2.5178,1.1253,-1.3924,1.9671,0.4952,0.324,7.4532,0.4318,3.004,-0.9691,0.2517,3.26e-01,4.18e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-26,2024-09-27,288,288,17.7,41.3,1.1253,1.1113,-0.014,0.4952,0.3173,0.4318,3.004,0.5905,2.0722,-0.0337,0.6408,9.14e-01,4.81e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-27,2024-09-28,288,288,41.3,102.1,1.1113,1.1707,0.0594,0.3173,0.2358,0.5905,2.0722,0.6771,1.9641,0.2123,0.7432,2.82e-01,5.90e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-28,2024-09-29,288,288,102.1,31.6,1.1707,1.0768,-0.094,0.2358,0.3426,0.6771,1.9641,0.412,2.0525,-0.3189,1.4529,1.58e-01,7.35e-03,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-29,2024-09-30,288,288,31.6,20.8,1.0768,1.4669,0.3902,0.3426,0.5166,0.412,2.0525,0.6051,3.4734,0.8886,1.5076,4.91e-03,1.74e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-09-30,2024-10-01,288,288,20.8,8.7,1.4669,2.7771,1.3101,0.5166,1.674,0.6051,3.4734,0.5697,8.1899,1.0558,3.2406,5.28e-02,1.14e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-01,2024-10-02,288,288,8.7,30.8,2.7771,2.1383,-0.6388,1.674,0.6244,0.5697,8.1899,1.0341,3.9503,-0.5047,0.373,3.02e-01,3.62e-04,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-02,2024-10-03,288,288,30.8,13.1,2.1383,3.5743,1.436,0.6244,1.1444,1.0341,3.9503,1.9515,7.1252,1.5551,1.8329,6.45e-04,9.63e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-03,2024-10-04,288,288,13.1,19.2,3.5743,4.2095,0.6352,1.1444,1.1891,1.9515,7.1252,2.34,7.5006,0.5434,1.0391,1.40e-01,7.80e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-04,2024-10-05,288,288,19.2,15.0,4.2095,4.4749,0.2653,1.1891,1.4468,2.34,7.5006,1.6416,8.2551,0.2,1.2167,5.70e-01,2.13e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-05,2024-10-06,288,288,15.0,8.6,4.4749,2.7702,-1.7047,1.4468,1.2733,1.6416,8.2551,0.7434,5.7817,-1.2487,0.8801,8.34e-03,6.94e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-06,2024-10-07,288,288,8.6,18.1,2.7702,4.3981,1.628,1.2733,1.152,0.7434,5.7817,1.2929,6.8975,1.3385,0.9047,6.97e-03,7.84e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-07,2024-10-08,288,288,18.1,6.5,4.3981,4.0802,-0.3179,1.152,1.8407,1.2929,6.8975,1.83,8.827,-0.2067,1.5978,6.94e-01,2.29e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-08,2024-10-09,288,288,6.5,11.7,4.0802,3.339,-0.7412,1.8407,1.3721,1.83,8.827,1.7871,11.3681,-0.4558,0.7454,3.95e-01,4.49e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-09,2024-10-10,288,288,11.7,51.9,3.339,3.0808,-0.2582,1.3721,0.5759,1.7871,11.3681,1.6268,5.5079,-0.245,0.4197,5.40e-01,2.60e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-10,2024-10-11,288,288,51.9,31.4,3.0808,3.1873,0.1065,0.5759,1.452,1.6268,5.5079,1.5488,17.4649,0.0962,2.5212,6.97e-01,1.20e-03,False,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-11,2024-10-12,288,288,31.4,36.3,3.1873,4.6279,1.4407,1.452,0.9508,1.5488,17.4649,2.8416,8.3627,1.1718,0.6548,1.73e-05,8.83e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-12,2024-10-13,288,288,36.3,46.7,4.6279,5.8018,1.1738,0.9508,0.924,2.8416,8.3627,3.7298,8.5197,1.2499,0.9717,2.88e-07,9.77e-01,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-13,2024-10-14,288,288,46.7,9.4,5.8018,3.1988,-2.603,0.924,1.7659,3.7298,8.5197,1.1252,10.9046,-1.8439,1.9112,1.58e-03,4.92e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-14,2024-10-15,288,288,9.4,4.4,3.1988,5.8419,2.6431,1.7659,2.7757,1.1252,10.9046,2.3493,12.9521,1.1342,1.5718,1.32e-01,1.86e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-15,2024-10-16,288,288,4.4,5.5,5.8419,1.3912,-4.4507,2.7757,1.1147,2.3493,12.9521,0.283,6.3372,-2.1006,0.4016,3.20e-02,1.82e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-16,2024-10-17,288,288,5.5,25.8,1.3912,1.1751,-0.2161,1.1147,0.4927,0.283,6.3372,0.3795,3.1018,-0.2503,0.4421,6.75e-01,7.11e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-17,2024-10-18,288,288,25.8,13.9,1.1751,1.7092,0.5341,0.4927,0.7399,0.3795,3.1018,0.6296,4.0003,0.8482,1.5016,2.60e-02,3.05e-02,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-18,2024-10-19,288,288,13.9,54.8,1.7092,2.3477,0.6385,0.7399,1.8272,0.6296,4.0003,1.1244,26.4314,0.4573,2.4695,4.93e-02,8.56e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-19,2024-10-20,288,287,54.8,14.2,2.3477,3.2533,0.9056,1.8272,1.0986,1.1244,26.4314,1.108,5.9672,0.5994,0.6013,2.37e-02,6.12e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-20,2024-10-21,287,288,14.2,17.6,3.2533,3.8364,0.5832,1.0986,1.1399,1.108,5.9672,1.915,7.1981,0.52,1.0376,1.55e-01,4.64e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-21,2024-10-22,288,288,17.6,42.5,3.8364,3.2464,-0.5901,1.1399,0.8492,1.915,7.1981,1.6022,7.1883,-0.586,0.745,6.24e-02,4.16e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-22,2024-10-23,288,288,42.5,47.9,3.2464,2.2772,-0.9692,0.8492,0.5561,1.6022,7.1883,1.2781,3.9832,-1.3479,0.6548,2.11e-08,5.52e-03,True,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-23,2024-10-24,288,288,47.9,30.8,2.2772,2.1745,-0.1027,0.5561,0.6529,1.2781,3.9832,0.9564,4.1083,-0.169,1.1742,4.75e-01,3.51e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-24,2024-10-25,288,288,30.8,44.5,2.1745,1.6384,-0.5361,0.6529,0.4373,0.9564,4.1083,0.7707,3.1153,-0.9631,0.6698,2.37e-04,1.24e-02,True,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-25,2024-10-26,288,288,44.5,29.3,1.6384,3.651,2.0126,0.4373,0.8803,0.7707,3.1153,1.3169,5.6762,2.8905,2.013,7.94e-14,1.31e-05,True,True
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-26,2024-10-27,288,288,29.3,2.9,3.651,8.8392,5.1882,0.8803,6.4638,1.3169,5.6762,2.9302,35.926,1.1228,7.3425,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-27,2024-10-28,288,288,2.9,4.7,8.8392,4.1944,-4.6448,6.4638,2.2121,2.9302,35.926,1.0157,9.4854,-0.9598,0.3422,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-28,2024-10-29,288,288,4.7,11.0,4.1944,4.257,0.0626,2.2121,1.56,1.0157,9.4854,1.2568,7.7474,0.0327,0.7052,9.58e-01,2.78e-01,False,False
IPS7100_MHC_001,pm1_0,day_to_day,2024-10-29,2024-10-30,288,288,11.0,16.1,4.257,3.9057,-0.3513,1.56,1.2925,1.2568,7.7474,1.9095,7.2943,-0.2448,0.8285,5.46e-01,6.46e-01,False,False
