sensor,metric,granularity,old_period,new_period,old_n,new_n,old_n_eff,new_n_eff,old_mean,new_mean,mean_delta,old_std,new_std,old_min,old_max,new_min,new_max,cohens_d,std_ratio,p_welch,p_levene,mean_shift,variance_shift
IPS7100_MHC_001,pm1_0,month_to_month,2024-08,2024-09,7840,8011,79.2,105.5,7.3524,3.1967,-4.1557,4.8263,2.5203,0.292,26.2898,0.1223,18.5186,-1.0827,0.5222,2.34e-10,8.45e-09,True,True
IPS7100_MHC_001,pm1_0,month_to_month,2024-09,2024-10,8011,8927,105.5,168.3,3.1967,3.5331,0.3364,2.5203,2.3129,0.1223,18.5186,0.283,35.926,0.1394,0.9177,2.69e-01,1.62e-02,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2024-10,2024-11,8927,8270,168.3,83.5,3.5331,3.9098,0.3766,2.3129,4.6942,0.283,35.926,0.0149,38.1476,0.103,2.0295,4.90e-01,1.23e-05,False,True
IPS7100_MHC_001,pm1_0,month_to_month,2024-11,2024-12,8270,8640,83.5,87.3,3.9098,6.7114,2.8016,4.6942,7.3367,0.0149,38.1476,0.0188,69.0083,0.4528,1.5629,3.32e-03,1.60e-02,True,False
IPS7100_MHC_001,pm1_0,month_to_month,2024-12,2025-01,8640,8928,87.3,90.2,6.7114,5.4417,-1.2697,7.3367,6.1314,0.0188,69.0083,0.0605,41.9851,-0.1881,0.8357,2.13e-01,6.66e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-01,2025-02,8928,7932,90.2,80.1,5.4417,7.2361,1.7944,6.1314,7.6393,0.0605,41.9851,0.1033,44.5766,0.2607,1.2459,9.57e-02,3.29e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-02,2025-03,7932,8927,80.1,90.2,7.2361,4.3864,-2.8497,7.6393,6.7683,0.1033,44.5766,0.1402,77.3614,-0.3962,0.886,1.13e-02,8.47e-02,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-03,2025-04,8927,8170,90.2,82.5,4.3864,4.2007,-0.1858,6.7683,5.7243,0.1402,77.3614,0.0619,53.8877,-0.0295,0.8458,8.45e-01,2.03e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-04,2025-05,8170,8928,82.5,90.2,4.2007,3.6213,-0.5793,5.7243,4.558,0.0619,53.8877,0.0483,27.7658,-0.1125,0.7962,4.66e-01,4.94e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-05,2025-06,8928,8636,90.2,97.9,3.6213,3.7578,0.1365,4.558,3.0428,0.0483,27.7658,0.0804,15.6824,0.0351,0.6676,8.11e-01,5.44e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-06,2025-07,8636,8927,97.9,103.9,3.7578,6.1038,2.3461,3.0428,4.031,0.0804,15.6824,0.6398,25.7341,0.6554,1.3248,5.35e-06,1.67e-01,True,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-07,2025-08,8927,8928,103.9,90.2,6.1038,5.6942,-0.4096,4.031,4.3141,0.6398,25.7341,0.103,35.1528,-0.0981,1.0702,4.97e-01,7.17e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-08,2025-09,8928,8640,90.2,87.3,5.6942,5.5532,-0.141,4.3141,3.9306,0.103,35.1528,0.3248,21.4076,-0.0341,0.9111,8.20e-01,1.74e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-09,2025-10,8640,8928,87.3,90.2,5.5532,3.5255,-2.0277,3.9306,4.1367,0.3248,21.4076,0.0624,48.466,-0.5023,1.0524,9.96e-04,6.39e-02,True,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-10,2025-11,8928,8353,90.2,84.4,3.5255,3.3472,-0.1783,4.1367,4.6497,0.0624,48.466,0.0332,54.8419,-0.0406,1.124,7.90e-01,4.39e-01,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2025-11,2025-12,8353,8928,84.4,90.2,3.3472,7.7033,4.3561,4.6497,9.3006,0.0332,54.8419,0.0,104.7781,0.5866,2.0003,1.26e-04,2.76e-05,True,True
IPS7100_MHC_001,pm1_0,month_to_month,2025-12,2026-01,8928,8641,90.2,87.3,7.7033,5.1289,-2.5743,9.3006,6.0797,0.0,104.7781,0.0457,41.0088,-0.3266,0.6537,3.01e-02,6.52e-02,False,False
IPS7100_MHC_001,pm1_0,month_to_month,2026-01,2026-02,8641,8028,87.3,81.1,5.1289,3.2371,-1.8918,6.0797,3.2124,0.0457,41.0088,0.0396,19.0984,-0.3851,0.5284,1.19e-02,9.07e-03,False,True
IPS7100_MHC_001,pm1_0,month_to_month,2026-02,2026-03,8028,8639,81.1,117.9,3.2371,1.739,-1.4981,3.2124,1.4986,0.0396,19.0984,0.0847,18.3642,-0.6048,0.4665,1.61e-04,4.05e-04,True,True
IPS7100_MHC_001,pm1_0,month_to_month,2026-03,2026-04,8639,8640,117.9,87.3,1.739,3.3775,1.6385,1.4986,4.3699,0.0847,18.3642,0.0457,25.5482,0.5015,2.9159,1.10e-03,1.91e-04,True,True
IPS7100_MHC_001,pm1_0,month_to_month,2026-04,2026-05,8640,7777,87.3,78.6,3.3775,1.9958,-1.3817,4.3699,2.2986,0.0457,25.5482,0.1675,15.8414,-0.39,0.526,1.09e-02,4.42e-03,False,True
IPS7100_MHC_001,pressure,month_to_month,2024-08,2024-09,7840,8011,1323.6,436.5,993.5205,991.9988,-1.5217,2.907,3.4331,861.4906,999.2768,888.5533,999.5766,-0.4779,1.181,1.00e-15,1.25e-03,True,False
IPS7100_MHC_001,pressure,month_to_month,2024-09,2024-10,8011,8927,436.5,90.2,991.9988,996.6937,4.6949,3.4331,3.9923,888.5533,999.5766,989.1872,1009.2567,1.2558,1.1629,1.00e-15,1.59e-01,True,False
IPS7100_MHC_001,pressure,month_to_month,2024-10,2024-11,8927,8270,90.2,83.5,996.6937,985.9503,-10.7434,3.9923,3.1309,989.1872,1009.2567,984.9928,999.4533,-2.9809,0.7843,1.00e-15,1.75e-05,True,False
IPS7100_MHC_001,pressure,month_to_month,2024-11,2024-12,8270,8640,83.5,8640.0,985.9503,984.9959,-0.9544,3.1309,0.0,984.9928,999.4533,984.9959,984.9959,-0.4359,0.0,6.62e-03,1.00e-15,True,True
IPS7100_MHC_001,pressure,month_to_month,2024-12,2025-01,8640,8928,8640.0,8928.0,984.9959,984.9959,0.0,0.0,0.0,984.9959,984.9959,984.9959,984.9959,0.0,1.0,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pressure,month_to_month,2025-01,2025-02,8928,7932,8928.0,7932.0,984.9959,984.9959,0.0,0.0,0.0,984.9959,984.9959,984.9959,984.9959,0.0,1.0,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pressure,month_to_month,2025-02,2025-03,7932,8927,7932.0,8927.0,984.9959,984.9959,0.0,0.0,0.0,984.9959,984.9959,984.9959,984.9959,0.0,1.0,1.00e+00,1.00e+00,False,False
IPS7100_MHC_001,pressure,month_to_month,2025-03,2025-04,8927,8170,8927.0,82.5,984.9959,993.0724,8.0765,0.0,4.5845,984.9959,984.9959,984.9959,1004.9202,2.5483,inf,1.00e-15,1.00e-15,True,True
IPS7100_MHC_001,pressure,month_to_month,2025-04,2025-05,8170,8928,82.5,90.2,993.0724,991.325,-1.7474,4.5845,4.4184,984.9959,1004.9202,978.622,998.4116,-0.3884,0.9638,1.18e-02,6.64e-01,False,False
IPS7100_MHC_001,pressure,month_to_month,2025-05,2025-06,8928,8636,90.2,87.2,991.325,990.6071,-0.718,4.4184,2.6269,978.622,998.4116,984.5283,998.3693,-0.1967,0.5945,1.89e-01,6.70e-04,False,True
IPS7100_MHC_001,pressure,month_to_month,2025-06,2025-07,8636,8927,87.2,8927.0,990.6071,988.6915,-1.9155,2.6269,0.0,984.5283,998.3693,988.6915,988.6915,-1.0399,0.0,1.24e-09,1.00e-15,True,True
IPS7100_MHC_001,pressure,month_to_month,2025-07,2025-08,8927,8928,8927.0,90.2,988.6915,991.275,2.5834,0.0,3.1345,988.6915,988.6915,988.6915,1009.4995,1.1655,inf,9.74e-12,1.00e-15,True,True
IPS7100_MHC_001,pressure,month_to_month,2025-08,2025-09,8928,8352,90.2,303.5,991.275,995.0042,3.7292,3.1345,3.3992,988.6915,1009.4995,985.5819,1050.0343,1.1421,1.0844,1.00e-15,7.96e-01,True,False
