sensor,metric,granularity,old_period,new_period,old_n,new_n,old_n_eff,new_n_eff,old_mean,new_mean,mean_delta,old_std,new_std,old_min,old_max,new_min,new_max,cohens_d,std_ratio,p_welch,p_levene,mean_shift,variance_shift
IPS7100_MHC_001,pm1_0,week_to_week,2024-08-04,2024-08-11,71,2016,18.0,78.3,6.1973,10.0875,3.8901,0.8321,2.5698,4.1702,8.6108,2.8045,17.077,1.5367,3.0882,1.00e-15,4.15e-04,True,True
IPS7100_MHC_001,pm1_0,week_to_week,2024-08-11,2024-08-18,2016,2009,78.3,38.8,10.0875,4.2933,-5.7942,2.5698,2.4045,2.8045,17.077,1.1758,13.5879,-2.3277,0.9357,1.00e-15,2.73e-01,True,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-08-18,2024-08-25,2009,2016,38.8,22.4,4.2933,10.6621,6.3688,2.4045,5.3221,1.1758,13.5879,1.6414,26.2898,1.541,2.2134,1.27e-05,5.26e-04,True,True
IPS7100_MHC_001,pm1_0,week_to_week,2024-08-25,2024-09-01,2016,2016,22.4,20.4,10.6621,3.6515,-7.0106,5.3221,3.5599,1.6414,26.2898,0.292,17.853,-1.548,0.6689,1.01e-05,2.27e-02,True,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-09-01,2024-09-08,2016,2016,20.4,23.2,3.6515,4.7248,1.0733,3.5599,3.228,0.292,17.853,0.2878,18.5186,0.3158,0.9067,3.06e-01,2.50e-01,False,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-09-08,2024-09-15,2016,1951,23.2,29.3,4.7248,3.407,-1.3178,3.228,2.3329,0.2878,18.5186,0.1223,15.1344,-0.4666,0.7227,1.06e-01,4.19e-02,False,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-09-15,2024-09-22,1951,1482,29.3,45.0,3.407,3.2944,-0.1126,2.3329,1.701,0.1223,15.1344,0.2531,9.0806,-0.054,0.7292,8.23e-01,3.93e-01,False,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-09-22,2024-09-29,1482,1986,45.0,60.7,3.2944,1.7706,-1.5238,1.701,1.4229,0.2531,9.0806,0.279,14.5159,-0.9842,0.8365,5.03e-06,7.89e-03,True,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-09-29,2024-10-06,1986,2016,60.7,52.6,1.7706,3.0587,1.2882,1.4229,1.56,0.279,14.5159,0.5697,8.2551,0.8623,1.0964,1.37e-05,8.73e-02,True,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-10-06,2024-10-13,2016,2016,52.6,89.8,3.0587,4.0736,1.0148,1.56,1.5356,0.5697,8.2551,1.2929,17.4649,0.6555,0.9843,2.72e-04,6.59e-01,True,False
IPS7100_MHC_001,pm1_0,week_to_week,2024-10-13,2024-10-20,2016,2015,89.8,54.8,4.0736,2.7022,-1.3714,1.5356,2.1707,1.2929,17.4649,0.283,26.4314,-0.7293,1.4136,9.57e-05,1.55e-01,True,False
