period,period_1,period_2,n1,n2,test,statistic,p_value,significant,significance
Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,KS,0.321799,0.0,True,p<0.001 ***
Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,AD,38.279021,0.001,True,p=0.0010 **
Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,MWU,54385.5,0.0,True,p<0.001 ***
Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,ES,133.235567,0.0,True,p<0.001 ***
Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,KS,0.236986,0.0,True,p<0.001 ***
Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,AD,139.233452,0.001,True,p=0.0010 **
Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,MWU,2456097.5,0.0,True,p<0.001 ***
Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,ES,369.362658,0.0,True,p<0.001 ***
Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,KS,0.204992,0.0,True,p<0.001 ***
Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,AD,286.789348,0.001,True,p=0.0010 **
Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,MWU,43645613.5,0.0,True,p<0.001 ***
Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,ES,597.475421,0.0,True,p<0.001 ***
