field,comparison,sample,test,statistic,p_value,n,mean,std
PM1.0,Last 2 Days,Day 1 (2026-05-26),One-sample KS vs standard normal after z-scoring,0.071219,0.10258,288,1.596516,0.569455
PM1.0,Last 2 Days,Day 1 (2026-05-26),D'Agostino-Pearson normality test,11.134713,0.003821,288,1.596516,0.569455
PM1.0,Last 2 Days,Day 2 (2026-05-27),One-sample KS vs standard normal after z-scoring,0.163612,0.0,288,1.441216,1.088816
PM1.0,Last 2 Days,Day 2 (2026-05-27),D'Agostino-Pearson normality test,105.958389,0.0,288,1.441216,1.088816
PM1.0,Last 2 Weeks,Week 1 (2026-05-14 to 2026-05-21),One-sample KS vs standard normal after z-scoring,0.202988,0.0,2304,3.044297,2.991726
PM1.0,Last 2 Weeks,Week 1 (2026-05-14 to 2026-05-21),D'Agostino-Pearson normality test,748.960278,0.0,2304,3.044297,2.991726
PM1.0,Last 2 Weeks,Week 2 (2026-05-21 to 2026-05-28),One-sample KS vs standard normal after z-scoring,0.150215,0.0,2017,1.717952,1.215288
PM1.0,Last 2 Weeks,Week 2 (2026-05-21 to 2026-05-28),D'Agostino-Pearson normality test,1096.558227,0.0,2017,1.717952,1.215288
PM1.0,Last 2 Months,Month 1 (2026-03-28 to 2026-04-28),One-sample KS vs standard normal after z-scoring,0.257519,0.0,9216,3.134272,3.999828
PM1.0,Last 2 Months,Month 1 (2026-03-28 to 2026-04-28),D'Agostino-Pearson normality test,4623.210868,0.0,9216,3.134272,3.999828
PM1.0,Last 2 Months,Month 2 (2026-04-28 to 2026-05-28),One-sample KS vs standard normal after z-scoring,0.282117,0.0,8641,2.443707,3.463107
PM1.0,Last 2 Months,Month 2 (2026-04-28 to 2026-05-28),D'Agostino-Pearson normality test,5718.102273,0.0,8641,2.443707,3.463107
PM1.0,May 2025 vs May 2026,May 2025,One-sample KS vs standard normal after z-scoring,0.217472,0.0,8928,3.621322,4.557958
PM1.0,May 2025 vs May 2026,May 2025,D'Agostino-Pearson normality test,3987.376387,0.0,8928,3.621322,4.557958
PM1.0,May 2025 vs May 2026,May 2026,One-sample KS vs standard normal after z-scoring,0.251581,0.0,7777,1.995794,2.298604
PM1.0,May 2025 vs May 2026,May 2026,D'Agostino-Pearson normality test,4340.50878,0.0,7777,1.995794,2.298604
