field,period,period_1,period_2,n1,n2,test,statistic,p_value,significant,significance
temperature,Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,KS,0.377163,0.0,True,p<0.001 ***
temperature,Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,AD,54.522057,0.001,True,p=0.0010 **
temperature,Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,MWU,58553.5,0.0,True,p<0.001 ***
temperature,Last 2 Days,Day 1 (2026-05-26),Day 2 (2026-05-27),289,289,ES,157.736363,0.0,True,p<0.001 ***
temperature,Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,KS,0.242935,0.0,True,p<0.001 ***
temperature,Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,AD,92.923751,0.001,True,p=0.0010 **
temperature,Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,MWU,2334310.5,0.0,True,p<0.001 ***
temperature,Last 2 Weeks,Week 1 (2026-05-14 – 2026-05-21),Week 2 (2026-05-21 – 2026-05-28),2017,2017,ES,518.874648,0.0,True,p<0.001 ***
temperature,Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,KS,0.15059,0.0,True,p<0.001 ***
temperature,Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,AD,434.618007,0.001,True,p=0.0010 **
temperature,Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,MWU,30820480.5,0.0,True,p<0.001 ***
temperature,Last 2 Months,Month 1 (2026-03-28 – 2026-04-28),Month 2 (2026-04-28 – 2026-05-28),8929,8641,ES,1334.529576,0.0,True,p<0.001 ***
