field,comparison,sample,test,statistic,p_value,n,mean,std
Temperature,Last 2 Days,Day 1 (2026-05-26),One-sample KS vs standard normal after z-scoring,0.175126,0.0,288,26.519615,4.034915
Temperature,Last 2 Days,Day 1 (2026-05-26),D'Agostino-Pearson normality test,87.068333,0.0,288,26.519615,4.034915
Temperature,Last 2 Days,Day 2 (2026-05-27),One-sample KS vs standard normal after z-scoring,0.198122,0.0,288,24.036991,4.010572
Temperature,Last 2 Days,Day 2 (2026-05-27),D'Agostino-Pearson normality test,35.923675,0.0,288,24.036991,4.010572
Temperature,Last 2 Weeks,Week 1 (2026-05-14 to 2026-05-21),One-sample KS vs standard normal after z-scoring,0.041692,0.000645,2304,26.187981,4.218219
Temperature,Last 2 Weeks,Week 1 (2026-05-14 to 2026-05-21),D'Agostino-Pearson normality test,121.402922,0.0,2304,26.187981,4.218219
Temperature,Last 2 Weeks,Week 2 (2026-05-21 to 2026-05-28),One-sample KS vs standard normal after z-scoring,0.140676,0.0,2017,25.815689,4.746499
Temperature,Last 2 Weeks,Week 2 (2026-05-21 to 2026-05-28),D'Agostino-Pearson normality test,187.333528,0.0,2017,25.815689,4.746499
Temperature,Last 2 Months,Month 1 (2026-03-28 to 2026-04-28),One-sample KS vs standard normal after z-scoring,0.062985,0.0,9216,21.638648,5.573719
Temperature,Last 2 Months,Month 1 (2026-03-28 to 2026-04-28),D'Agostino-Pearson normality test,39.152982,0.0,9216,21.638648,5.573719
Temperature,Last 2 Months,Month 2 (2026-04-28 to 2026-05-28),One-sample KS vs standard normal after z-scoring,0.040109,0.0,8641,23.863395,5.827584
Temperature,Last 2 Months,Month 2 (2026-04-28 to 2026-05-28),D'Agostino-Pearson normality test,338.756918,0.0,8641,23.863395,5.827584
Temperature,May 2025 vs May 2026,May 2025,One-sample KS vs standard normal after z-scoring,0.060212,0.0,8928,24.158399,5.534497
Temperature,May 2025 vs May 2026,May 2025,D'Agostino-Pearson normality test,622.539749,0.0,8928,24.158399,5.534497
Temperature,May 2025 vs May 2026,May 2026,One-sample KS vs standard normal after z-scoring,0.029733,2e-06,7777,24.21435,5.874599
Temperature,May 2025 vs May 2026,May 2026,D'Agostino-Pearson normality test,271.715405,0.0,7777,24.21435,5.874599
